Babies' first forenames: births registered in Scotland in 2015,,,,,,
,,,,,,
Information about the basis of the list can be found via the Babies' First Names' page on the National Records of Scotland website.,,,,,,
,,,,,,
Boys,,,,Girls,,
,,,,,,
Position,Name,Number of babies,,Position,Name,Number of babies
1,Jack,565,,1,Emily,497
2,Oliver,448,,2,Sophie,468
3,James,416,,3,Olivia,452
4,Lewis,371,,4,Isla,419
5,Alexander,349,,5,Jessica,357
6,Charlie,342,,6,Ava,354
7,Lucas,316,,7,Amelia,352
8,Logan,311,,8,Ella,341
9,Harris,306,,9,Lucy,317
10,Daniel,282,,10,Lily,279
11=,Finlay,277,,11,Grace,255
11=,Jacob,277,,12,Chloe,254
13,Leo,275,,13,Freya,245
14,Mason,271,,14,Ellie,238
15,Noah,265,,15,Millie,225
16,Harry,258,,16,Emma,224
17=,Alfie,249,,17=,Anna,223
17=,Max,249,,17=,Eva,223
19,Callum,248,,19,Sophia,220
20=,Aaron,242,,20,Mia,212
20=,Adam,242,,21,Charlotte,209
22,Thomas,240,,22,Eilidh,208
23=,Ethan,233,,23,Ruby,201
23=,Rory,233,,24,Hannah,180
25,Cameron,221,,25,Aria,179
26,Archie,216,,26=,Evie,167
27,Oscar,209,,26=,Georgia,167
28,Matthew,202,,28,Poppy,161
29,Nathan,198,,29,Erin,160
30,Joshua,197,,30,Katie,159
31,Brodie,193,,31,Holly,157
32,William,181,,32,Orla,149
33,Liam,176,,33=,Layla,144
34,Ryan,172,,33=,Skye,144
35,Jamie,168,,35,Rosie,134
36,Harrison,167,,36,Harper,128
37,Joseph,160,,37,Maisie,126
38,Dylan,158,,38,Leah,124
39,Samuel,157,,39,Zoe,122
40,Riley,156,,40,Daisy,119
41,David,155,,41,Amber,113
42,Ollie,150,,42=,Amy,112
43,Andrew,145,,42=,Hollie,112
44=,Connor,144,,42=,Isabella,112
44=,Luke,144,,45,Niamh,106
46,Muhammad,141,,46=,Molly,104
47=,Jaxon,136,,46=,Robyn,104
47=,Kyle,136,,48,Alice,98
49,Benjamin,133,,49,Sofia,96
50,Michael,131,,50,Lilly,93
51=,Caleb,129,,51,Maya,92
51=,Jackson,129,,52,Lacey,90
53,George,127,,53=,Rebecca,89
54,Finn,125,,53=,Scarlett,89
55,Leon,123,,55=,Lexi,88
56,Fraser,122,,55=,Willow,88
57,Murray,121,,57=,Abigail,87
58,Jake,120,,57=,Brooke,87
59,John,119,,57=,Esme,87
60,Arran,115,,60,Lola,85
61=,Angus,114,,61,Paige,84
61=,Cole,114,,62,Gracie,82
63,Robert,112,,63=,Emilia,79
64,Cooper,110,,63=,Mila,79
65=,Isaac,108,,65,Zara,78
65=,Jayden,108,,66,Megan,77
67=,Aiden,107,,67,Abbie,76
67=,Kai,107,,68=,Kayla,75
69,Theo,106,,68=,Sienna,75
70,Jude,105,,70=,Ivy,74
71,Ben,103,,70=,Summer,74
72,Tyler,98,,72=,Cara,72
73,Ruaridh,97,,72=,Thea,72
74,Owen,95,,74,Imogen,71
75,Blake,94,,75,Sarah,70
76,Freddie,93,,76,Rose,67
77,Euan,92,,77,Ayla,66
78,Josh,88,,78=,Bella,64
79=,Blair,85,,78=,Mya,64
79=,Robbie,85,,80=,Elizabeth,63
81=,Hamish,84,,80=,Rachel,63
81=,Kian,84,,82=,Iona,62
83,Sam,83,,82=,Julia,62
84=,Aidan,81,,84,Elsie,61
84=,Jay,81,,85,Amelie,60
86,Christopher,80,,86=,Darcy,59
87,Reuben,78,,86=,Lauren,59
88=,Cody,76,,86=,Mollie,59
88=,Luca,76,,89,Arianna,58
90,Lachlan,75,,90,Eve,56
91=,Elliot,72,,91,Matilda,55
91=,Evan,72,,92,Caitlin,54
91=,Sonny,72,,93=,Beth,52
94=,Calum,70,,93=,Maria,52
94=,Henry,70,,95,Phoebe,51
94=,Rhys,70,,96=,Heidi,49
97,Carson,69,,96=,Hope,49
98,Harvey,68,,98,Ariana,48
99,Calvin,66,,99=,Georgie,47
100=,Callan,65,,99=,Sadie,47
100=,Ross,65,,101=,Aimee,46
100=,Zac,65,,101=,Arya,46
103=,Kayden,62,,101=,Carly,46
103=,Lyle,62,,101=,Nina,46
103=,Scott,62,,101=,Penelope,46
106=,Corey,61,,106=,Aila,44
106=,Hunter,61,,106=,Alexis,44
106=,Olly,61,,106=,Emilie,44
106=,Zachary,61,,109=,Eden,43
